t,NT,Nb,Q,PT,PB,x (m),v (m/s),a (m/s2)
0,6.02986E+23,1.04262E+22,2.73481E+26,20700000,101325,0,0,0
0.00001,6.00251E+23,1.3161E+22,2.73484E+26,20700058.47,101672.9883,1.90958E-15,6.84033E-10,0.000183174
0.00002,5.97516E+23,1.58959E+22,2.73487E+26,20700116.67,102101.6722,2.51174E-14,4.7057E-09,0.000677686
0.00003,5.94781E+23,1.86308E+22,2.7349E+26,20700174.6,102611.0525,1.20704E-13,1.55051E-08,0.00154825
0.00004,5.92046E+23,2.13657E+22,2.73492E+26,20700232.27,103201.1302,3.73985E-13,3.71475E-08,0.002859564
0.00005,5.89311E+23,2.41006E+22,2.73495E+26,20700289.68,103871.9059,9.19042E-13,7.43664E-08,0.004676329
0.00006,5.86576E+23,2.68356E+22,2.73498E+26,20700346.82,104623.3805,1.9351E-12,1.32561E-07,0.007063245
0.00007,5.83841E+23,2.95706E+22,2.73501E+26,20700403.69,105455.5548,3.66468E-12,2.17746E-07,0.010085015
0.00008,5.81106E+23,3.23056E+22,2.73503E+26,20700460.29,106368.4296,6.40682E-12,3.36593E-07,0.01380634
0.00009,5.78371E+23,3.50406E+22,2.73506E+26,20700516.64,107362.0057,1.05377E-11,4.9642E-07,0.018291923
0.0001,5.75636E+23,3.77757E+22,2.73509E+26,20700572.71,108436.2839,1.6503E-11,7.05195E-07,0.023606467
0.00011,5.72901E+23,4.05108E+22,2.73512E+26,20700628.52,109591.265,2.4838E-11,9.71529E-07,0.029814677
0.00012,5.70166E+23,4.32459E+22,2.73514E+26,20700684.06,110826.9499,3.63085E-11,1.30468E-06,0.036981257
0.00013,5.67431E+23,4.59811E+22,2.73517E+26,20700739.34,112143.3393,5.18492E-11,1.71456E-06,0.045170912
0.00014,5.64695E+23,4.87163E+22,2.7352E+26,20700794.35,113540.434,7.2305E-11,2.21173E-06,0.054448349
0.00015,5.6196E+23,5.14515E+22,2.73522E+26,20700849.1,115018.2349,9.86164E-11,2.80738E-06,0.064878274
0.00016,5.59225E+23,5.41867E+22,2.73525E+26,20700903.58,116576.7427,1.31826E-10,3.51335E-06,0.076525394
0.00017,5.5649E+23,5.6922E+22,2.73528E+26,20700957.79,118215.9583,1.73087E-10,4.34216E-06,0.089454418
0.00018,5.53754E+23,5.96573E+22,2.73531E+26,20701011.74,119935.8825,2.23668E-10,5.30694E-06,0.103730053
0.00019,5.51019E+23,6.23926E+22,2.73533E+26,20701065.42,121736.5161,2.8496E-10,6.42147E-06,0.11941701
0.0002,5.48284E+23,6.5128E+22,2.73536E+26,20701118.84,123617.8598,3.58484E-10,7.7002E-06,0.136579998
0.00021,5.45548E+23,6.78633E+22,2.73539E+26,20701171.99,125579.9145,4.45896E-10,9.15821E-06,0.155283727
0.00022,5.42813E+23,7.05987E+22,2.73542E+26,20701224.88,127622.681,5.48998E-10,1.08112E-05,0.175592909
0.00023,5.40078E+23,7.33342E+22,2.73544E+26,20701277.5,129746.1601,6.69736E-10,1.26756E-05,0.197572255
0.00024,5.37342E+23,7.60696E+22,2.73547E+26,20701329.85,131950.3526,8.10218E-10,1.47685E-05,0.221286478
