Time (msec),Longitude,Latitude,Altagl,Battery Capacity (%)
0,-157.8098457,21.3067137,0,96
100,-157.8098458,21.306713,0,96
100,-157.8098463,21.30671295,0,96
200,-157.8098458,21.30671324,0,96
200,-157.8098459,21.30671353,0,96
200,-157.8098463,21.30671366,0,96
300,-157.8098459,21.30671314,0,96
300,-157.8098465,21.3067134,0,96
300,-157.8098459,21.30671367,0,96
400,-157.8098468,21.3067136,0,96
400,-157.8098458,21.30671291,0,96
400,-157.8098464,21.3067131,0,96
500,-157.8098464,21.30671302,0,96
500,-157.8098459,21.30671338,0,96
500,-157.8098463,21.30671332,0,96
600,-157.8098467,21.30671338,0,96
600,-157.8098464,21.30671327,0,96
600,-157.8098461,21.30671383,0,96
700,-157.8098465,21.3067131,0,96
700,-157.8098465,21.30671339,0,96
700,-157.8098467,21.30671298,0,96
800,-157.8098468,21.3067139,0,96
800,-157.8098465,21.30671388,0,96
900,-157.8098461,21.30671349,0,96
900,-157.8098469,21.3067138,0,96
900,-157.8098462,21.30671351,0,96
1000,-157.8098462,21.30671352,0,96
1000,-157.8098469,21.306713,0,96
1000,-157.8098464,21.30671301,0,96
1100,-157.8098461,21.3067137,0,96
1100,-157.8098465,21.30671369,0,96
1100,-157.809847,21.30671388,0,96
1200,-157.8098464,21.30671329,0,96
1200,-157.8098464,21.30671383,0,96
1200,-157.8098463,21.30671387,0,96
1300,-157.809845,21.30671184,0,96
1300,-157.8098443,21.30671104,0,96
1300,-157.8098448,21.30671115,0,96
1400,-157.8098451,21.30671173,0,96
1400,-157.8098447,21.30671154,0,96
1400,-157.809845,21.30671082,0,96
1500,-157.8098445,21.30671154,0,96
1500,-157.8098449,21.30671109,0,96
1600,-157.8098449,21.30671111,0,96
1600,-157.8098447,21.30671139,0,96
1600,-157.8098451,21.30671114,0,96
1700,-157.8098454,21.3067112,0,96
1700,-157.8098445,21.30671119,0,96
1700,-157.8098444,21.30671094,0,96
1800,-157.8098448,21.30671123,0,96
1800,-157.8098449,21.30671118,0,96
1800,-157.8098448,21.30671133,0,96
1900,-157.8098445,21.30671091,0,96
1900,-157.8098445,21.3067116,0,96
1900,-157.8098454,21.30671103,0,96
2000,-157.8098453,21.30671111,0,96
2000,-157.8098445,21.30671121,0,96
2000,-157.8098454,21.30671168,0,96
2100,-157.8098453,21.30671109,0,95
