Distance,Shot,X,Y,Rel.X,Rel.Y,Residual
2,1,62.3443,44.48556,2.7051,8.22452,74.96029524
2,2,63.42888,44.48556,3.78968,8.22452,82.00440373
2,3,64.83604,44.16044,5.19684,7.8994,89.40766635
2,4,66.4591,42.97172,6.8199,6.71068,91.54426207
2,5,65.15862,45.5676,5.51942,9.30656,117.0760562
2,6,66.2432,46.97476,6.604,10.71372,158.3966122
2,7,63.75146,46.86808,4.11226,10.60704,129.4199799
2,8,64.1858,48.38192,4.5466,12.12088,167.5873035
2,9,66.4591,42.8625,6.8199,6.60146,90.09031014
2,10,64.83604,43.72864,5.19684,7.4676,82.77219575
4,1,56.65724,25.05456,-4.572,14.55166,232.6539928
4,2,61.0235,28.37942,-0.20574,11.2268,126.0833672
4,3,63.8302,27.54884,2.60096,12.05738,152.1454054
4,4,69.33946,27.75712,8.11022,11.8491,206.1768393
4,5,67.05092,30.66796,5.82168,8.93826,113.7844499
4,6,63.3095,35.55238,2.08026,4.05384,20.76110041
4,7,60.71108,31.08198,-0.51816,8.52424,72.93115736
4,8,63.3095,30.66796,2.08026,8.93826,84.2199735
4,9,61.85408,31.60268,0.62484,8.00354,64.44707756
4,10,61.6458,32.84982,0.41656,6.7564,45.82246319
6,1,61.17844,31.242,1.08966,3.81,15.70345892
6,2,58.56478,32.54756,-1.524,2.50444,8.594795714
6,3,56.49722,35.70478,-3.59156,-0.65278,13.32542496
6,4,64.66078,35.814,4.572,-0.762,21.483828
6,5,61.61278,36.90366,1.524,-1.85166,5.751220756
6,6,67.27444,37.22878,7.18566,-2.17678,56.3720808
6,7,59.54522,39.95166,-0.54356,-4.89966,24.30212559
6,8,57.15,40.82034,-2.93878,-5.76834,41.91017424
6,9,58.45556,40.60444,-1.63322,-5.55244,33.49699752
6,10,61.06922,48.768,0.98044,-13.716,189.0899186
8,1,51.2953,36.0172,-4.7625,-4.56438,43.51497103
8,2,55.0672,35.02406,-0.9906,-3.57124,13.7350435
8,3,60.325,36.0172,4.2672,-4.56438,39.04256062
8,4,52.58562,39.29126,-3.47218,-7.83844,73.49717559
8,5,59.8297,41.86936,3.7719,-10.41654,122.7315352
8,6,50.20564,45.93844,-5.85216,-14.48562,244.0809635
8,7,51.79314,46.33468,-4.26466,-14.88186,239.657082
8,8,56.45658,43.3578,0.39878,-11.90498,141.8875743
8,9,56.55564,45.04436,0.49784,-13.59154,184.9778042
8,10,64.69126,48.41748,8.63346,-16.96466,362.3363205
10,1,62.04458,36.60902,-4.57708,-1.91516,24.61749915
10,2,71.19874,37.35578,4.57708,-2.66192,28.03547941
10,3,68.32346,38.63086,1.7018,-3.937,18.39609224
10,4,68.21932,41.29278,1.59766,-6.59892,46.09826264
10,5,71.30542,42.14368,4.68376,-7.44982,77.43742577
10,6,61.72708,43.74134,-4.89458,-9.04748,105.8138077
10,7,66.30162,43.31462,-0.32004,-8.62076,74.41992858
10,8,63.00216,50.4444,-3.6195,-15.75054,261.1802905
10,9,67.7926,48.10506,1.17094,-13.4112,181.2313859
10,10,72.36968,47.57166,5.74802,-12.8778,198.8774668
