x (m),y (cm),vx (m/s),vy (m/s)
0,0,80.8,12.2
0.00648,0.000974,81,12.1
0.013,0.00194,81.2,12.1
0.0195,0.00291,81.4,12
0.026,0.00386,81.7,11.9
0.0325,0.00481,81.9,11.8
0.0391,0.00576,82.1,11.8
0.0457,0.0067,82.3,11.7
0.0523,0.00763,82.5,11.6
0.0589,0.00856,82.7,11.5
0.0655,0.00948,82.9,11.5
0.0721,0.0104,83.1,11.4
0.0788,0.0113,83.3,11.3
0.0855,0.0122,83.6,11.3
0.0922,0.0131,83.8,11.2
0.0989,0.014,84,11.1
0.106,0.0149,84.2,11
0.112,0.0158,84.4,11
0.119,0.0166,84.7,10.9
0.126,0.0175,84.9,10.8
0.133,0.0184,85.1,10.7
0.14,0.0192,85.3,10.7
0.146,0.0201,85.5,10.6
0.153,0.0209,85.8,10.5
0.16,0.0217,86,10.4
0.167,0.0226,86.2,10.4
0.174,0.0234,86.5,10.3
0.181,0.0242,86.7,10.2
0.188,0.025,86.9,10.1
0.195,0.0258,87.2,10.1
0.202,0.0266,87.4,9.98
0.209,0.0274,87.6,9.9
0.216,0.0282,87.9,9.83
0.223,0.029,88.1,9.75
0.23,0.0298,88.4,9.67
0.237,0.0306,88.6,9.6
0.244,0.0313,88.9,9.52
0.251,0.0321,89.1,9.45
0.258,0.0328,89.4,9.37
0.265,0.0336,89.6,9.3
0.273,0.0343,89.9,9.22
0.28,0.0351,90.1,9.14
0.287,0.0358,90.4,9.07
0.294,0.0365,90.6,8.99
0.302,0.0372,90.9,8.92
0.309,0.0379,91.1,8.84
0.316,0.0386,91.4,8.76
0.323,0.0393,91.7,8.69
0.331,0.04,91.9,8.61
0.338,0.0407,92.2,8.54
0.346,0.0414,92.4,8.46
0.353,0.0421,92.7,8.38
0.36,0.0427,93,8.31
0.368,0.0434,93.2,8.23
0.375,0.0441,93.5,8.15
0.383,0.0447,93.8,8.08
0.39,0.0453,94.1,8
0.398,0.046,94.3,7.93
0.405,0.0466,94.6,7.85
0.413,0.0472,94.9,7.77
0.421,0.0479,95.2,7.7
0.428,0.0485,95.5,7.62
0.436,0.0491,95.7,7.54
0.444,0.0497,96,7.47
0.451,0.0503,96.3,7.39
0.459,0.0509,96.6,7.31
0.467,0.0514,96.9,7.23
0.475,0.052,97.2,7.16
0.482,0.0526,97.5,7.08
0.49,0.0532,97.8,7
0.498,0.0537,98.1,6.93
0.506,0.0543,98.4,6.85
0.514,0.0548,98.7,6.77
0.522,0.0553,99,6.7
0.529,0.0559,99.3,6.62
0.537,0.0564,99.6,6.54
0.545,0.0569,99.9,6.46
0.553,0.0574,100,6.39
0.561,0.0579,101,6.31
0.569,0.0584,101,6.23
0.578,0.0589,101,6.16
0.586,0.0594,101,6.08
0.594,0.0599,102,6
0.602,0.0604,102,5.92
0.61,0.0609,102,5.85
0.618,0.0613,103,5.77
0.627,0.0618,103,5.69
0.635,0.0622,103,5.61
0.643,0.0627,104,5.54
0.651,0.0631,104,5.46
0.66,0.0636,104,5.38
0.668,0.064,105,5.3
0.676,0.0644,105,5.23
0.685,0.0648,105,5.15
0.693,0.0652,106,5.07
0.702,0.0656,106,4.99
0.71,0.066,106,4.91
0.719,0.0664,107,4.84
0.727,0.0668,107,4.76
0.736,0.0672,108,4.68
0.745,0.0676,108,4.6
0.753,0.0679,108,4.53
0.762,0.0683,109,4.45
0.771,0.0686,109,4.37
0.779,0.069,109,4.29
0.788,0.0693,110,4.21
0.797,0.0697,110,4.14
0.806,0.07,110,4.06
0.814,0.0703,111,3.98
0.823,0.0706,111,3.9
0.832,0.0709,112,3.82
0.841,0.0712,112,3.75
0.85,0.0715,112,3.67
0.859,0.0718,113,3.59
0.868,0.0721,113,3.51
0.877,0.0724,114,3.43
0.886,0.0726,114,3.36
0.895,0.0729,114,3.28
0.905,0.0732,115,3.2
0.914,0.0734,115,3.12
0.923,0.0737,116,3.04
0.932,0.0739,116,2.97
0.942,0.0741,116,2.89
0.951,0.0744,117,2.81
0.96,0.0746,117,2.73
0.97,0.0748,118,2.65
0.979,0.075,118,2.57
0.989,0.0752,119,2.5
0.998,0.0754,119,2.42
1.01,0.0756,119,2.34
1.02,0.0758,120,2.26
1.03,0.076,120,2.18
1.04,0.0761,121,2.1
1.05,0.0763,121,2.03
1.06,0.0765,122,1.95
1.07,0.0766,122,1.87
1.08,0.0768,123,1.79
1.09,0.0769,123,1.71
1.1,0.077,124,1.63
1.11,0.0772,124,1.56
1.11,0.0773,124,1.48
1.12,0.0774,125,1.4
1.13,0.0775,125,1.32
1.15,0.0776,126,1.24
1.16,0.0777,126,1.16
1.17,0.0778,127,1.08
1.18,0.0779,127,1.01
1.19,0.078,128,0.928
1.2,0.078,128,0.849
1.21,0.0781,129,0.771
1.22,0.0782,130,0.692
1.23,0.0782,130,0.614
1.24,0.0783,131,0.535
1.25,0.0783,131,0.457
1.26,0.0783,132,0.378
1.27,0.0784,132,0.3
1.28,0.0784,133,0.221
1.29,0.0784,133,0.143
1.3,0.0784,134,0.0645
1.31,0.0784,134,-0.014
1.32,0.0784,135,-0.0925
1.33,0.0784,136,-0.171
1.34,0.0784,136,-0.249
1.36,0.0783,137,-0.328
1.37,0.0783,137,-0.406
1.38,0.0783,138,-0.485
1.39,0.0782,138,-0.563
1.4,0.0782,139,-0.642
1.41,0.0781,140,-0.72
1.42,0.0781,140,-0.799
1.43,0.078,141,-0.877
1.44,0.0779,141,-0.956
1.46,0.0779,142,-1.03
1.47,0.0778,143,-1.11
1.48,0.0777,143,-1.19
1.49,0.0776,144,-1.27
1.5,0.0775,145,-1.35
1.51,0.0774,145,-1.43
1.52,0.0772,146,-1.5
1.54,0.0771,147,-1.58
1.55,0.077,147,-1.66
1.56,0.0769,148,-1.74
1.57,0.0767,149,-1.82
1.58,0.0766,149,-1.9
1.6,0.0764,150,-1.98
1.61,0.0763,151,-2.05
1.62,0.0761,151,-2.13
1.63,0.0759,152,-2.21
1.64,0.0757,153,-2.29
1.66,0.0755,154,-2.37
1.67,0.0754,154,-2.45
1.68,0.0752,155,-2.52
1.69,0.0749,156,-2.6
1.71,0.0747,157,-2.68
1.72,0.0745,157,-2.76
1.73,0.0743,158,-2.84
1.74,0.0741,159,-2.91
1.76,0.0738,160,-2.99
1.77,0.0736,161,-3.07
1.78,0.0733,161,-3.15
1.8,0.0731,162,-3.23
1.81,0.0728,163,-3.31
1.82,0.0726,164,-3.38
1.83,0.0723,165,-3.46
1.85,0.072,165,-3.54
1.86,0.0717,166,-3.62
1.87,0.0714,167,-3.7
1.89,0.0711,168,-3.77
1.9,0.0708,169,-3.85
1.91,0.0705,170,-3.93
1.93,0.0702,171,-4.01
1.94,0.0699,172,-4.09
1.96,0.0695,173,-4.16
1.97,0.0692,173,-4.24
1.98,0.0689,174,-4.32
2,0.0685,175,-4.4
2.01,0.0682,176,-4.48
2.03,0.0678,177,-4.55
2.04,0.0674,178,-4.63
2.05,0.067,179,-4.71
2.07,0.0667,180,-4.79
2.08,0.0663,181,-4.87
2.1,0.0659,182,-4.94
2.11,0.0655,183,-5.02
2.13,0.0651,184,-5.1
2.14,0.0647,185,-5.18
2.16,0.0643,186,-5.25
2.17,0.0638,188,-5.33
2.19,0.0634,189,-5.41
2.2,0.063,190,-5.49
2.22,0.0625,191,-5.56
2.23,0.0621,192,-5.64
2.25,0.0616,193,-5.72
2.26,0.0612,194,-5.8
2.28,0.0607,195,-5.87
2.29,0.0602,197,-5.95
2.31,0.0597,198,-6.03
2.33,0.0593,199,-6.11
2.34,0.0588,200,-6.18
2.36,0.0583,202,-6.26
2.37,0.0578,203,-6.34
2.39,0.0573,204,-6.41
2.41,0.0567,205,-6.49
2.42,0.0562,207,-6.57
2.44,0.0557,208,-6.65
2.46,0.0552,209,-6.72
2.47,0.0546,211,-6.8
2.49,0.0541,212,-6.88
2.51,0.0535,214,-6.95
2.52,0.053,215,-7.03
2.54,0.0524,216,-7.11
2.56,0.0518,218,-7.19
2.58,0.0512,219,-7.26
2.59,0.0507,221,-7.34
2.61,0.0501,222,-7.42
2.63,0.0495,224,-7.49
2.65,0.0489,226,-7.57
2.67,0.0483,227,-7.65
2.68,0.0476,229,-7.72
2.7,0.047,230,-7.8
2.72,0.0464,232,-7.88
2.74,0.0458,234,-7.95
2.76,0.0451,235,-8.03
2.78,0.0445,237,-8.11
2.8,0.0438,239,-8.18
